Unnamed: 0,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,AVGO,AXP,BA,BAC,BKNG,BLK,BRK-B,BSX,C,CAT,CB,CI,CMCSA,COP,COST,CRM,CSCO,CVX,DE,DHR,DIS,ELV,ETN,FI,GE,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,MDT,META,MMC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PGR,PLD,PM,QCOM,REGN,RTX,SBUX,SCHW,SNPS,SPGI,SYK,T,TJX,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,V,VRTX,VZ,WFC,WMT,XOM
2024-03-31,27.94,58.39,39.67,35.19,104.29,81.92,21.25,24.73,593.2,-335.64,45.08,106.02,16.83,-84.65,11.2,39.33,19.54,17.86,50.81,8.99,15.73,12.18,-94.13,10.85,14.85,51.17,42.54,25.64,13.32,11.71,42.5,-2805.1,13.37,38.0,31.87,24.82,20.53,20.4,8.4,23.13,22.52,27.12,-123.92,18.33,64.04,29.18,10.78,39.87,20.75,34.32,76.36,17.64,18.88,33.25,37.06,26.21,16.65,40.31,25.27,17.91,17.42,10.97,35.95,31.54,14.33,28.45,33.55,113.54,36.3,31.96,84.23,28.96,12.59,25.24,13.18,50.52,16.53,20.11,36.18,19.01,33.55,24.24,69.47,33.79,42.8,9.13,25.17,41.8,20.3,123.62,35.65,-80.02,22.58,28.38,29.36,24.68,9.68,11.1,23.41,14.23
2023-12-31,22.01,83.23,29.94,26.5,46.98,51.45,27.26,17.34,89.29,50.23,37.03,24.65,17.57,-1726.87,21.39,138.73,21.95,5.14,41.94,-13.35,13.93,6.97,21.28,13.41,11.46,46.09,47.14,20.07,30.73,15.89,39.65,21.64,32.1,25.46,22.93,17.39,21.27,21.08,16.12,31.46,27.25,11.37,19.87,125.19,48.99,23.3,13.32,33.81,32.24,32.22,63.18,14.89,30.88,26.9,35.76,26.31,25.88,21.76,16.2,30.89,-56.31,24.68,31.95,-16.96,25.75,56.58,26.57,122.74,31.35,31.87,15.48,44.81,-12.15,24.91,11.72,48.84,16.62,14.47,20.18,19.99,26.63,30.01,45.22,59.99,24.89,13.79,19.7,31.51,23.03,24.92,28.22,22.32,22.63,20.96,26.74,27.06,-14.68,12.93,20.23,13.01
2023-09-30,29.09,37.03,29.32,37.14,45.76,40.03,28.81,13.67,138.93,20.78,33.21,28.09,11.14,-17.79,7.03,10.92,15.03,-14.89,38.36,5.58,12.45,10.43,512.93,11.26,12.81,41.54,39.87,14.37,12.09,11.08,36.01,140.53,19.87,23.9,17.98,93.32,21.06,20.9,13.31,18.4,20.21,18.79,125.74,143.76,61.82,3.59,8.07,21.1,19.6,28.97,-2105.01,15.28,15.83,23.18,29.12,20.67,24.03,25.4,16.69,32.19,13.76,13.77,26.31,-13.39,23.87,24.85,26.8,118.07,27.48,33.93,97.01,19.61,-20.01,19.04,18.16,35.56,17.49,20.68,21.7,-26.48,21.39,22.22,51.08,39.09,37.5,7.72,20.94,28.48,19.15,107.22,21.12,19.98,20.28,29.63,24.96,21.66,7.17,6.46,242.86,13.04
2023-06-30,38.29,29.41,34.5,24.03,38.58,28.28,29.18,20.36,273.8066666666667,21.53,49.66,19.01,14.82,-214.42,7.79,19.19,18.92,5.16,72.43,7.67,10.8,11.07,14.15,10.18,14.01,27.96,43.29,13.39,12.22,10.49,35.46,-88.75,14.18,26.96,28.42,13.84,20.86,20.64,22.7,17.91,23.21,19.23,23.61,402.46,71.28,20.84,7.4,24.24,25.56,29.62,59.83,17.02,12.19,25.9,32.69,23.56,26.35,37.11,23.66,22.49,-12.26,16.0,31.52,-9.99,13.42,32.86,39.22,27.46,46.69,21.6,84.23,23.32,22.23,26.48,56.04,23.88,24.16,18.03,19.85,26.9,24.88,19.93,51.07,62.62,39.24,6.38,25.2,36.99,18.65,76.77,23.73,20.41,19.85,18.52,29.19,24.76,8.42,7.99,13.64,13.83
2023-03-31,26.94,295.07,33.45,27.49,31.66,23.22,22.07,15.11,-272.25,11.36,83.44,16.1,16.87,-75.25,7.07,93.78,21.67,4.75,57.19,4.95,15.2,10.63,14.91,10.4,10.36,42.53,243.51,15.04,11.74,9.86,28.1,36.0,13.73,26.76,31.46,2.77,22.08,22.02,8.76,19.41,22.89,32.08,-12.3,14.9,62.95,-1519.08,7.66,19.72,21.59,28.83,57.52,17.85,13.57,20.54,36.67,28.35,15.19,25.66,24.01,16.69,23.93,12.12,29.31,-6.62,18.47,29.47,36.97,157.53,87.38,31.09,129.19,31.93,10.51,25.82,46.7,63.62,18.91,20.24,26.9,25.1,33.14,14.98,51.81,34.83,45.69,8.16,25.5,43.15,22.76,65.34,24.69,19.65,18.85,22.06,27.22,28.97,8.33,7.09,61.03,9.84
2022-12-31,17.21,28.9,46.17,24.13,33.76,22.53,30.43,13.31,-66.66,21.74,772.01,14.38,17.51,-43.02,9.39,15.72,21.11,9.33,118.38,8.72,21.31,17.43,21.16,12.2,11.11,38.34,-421.64,17.94,13.49,15.97,19.21,30.99,32.16,21.66,20.55,6.4,21.0,20.88,22.63,23.72,35.26,11.77,-41.13,176.74,71.69,32.79,9.02,13.61,33.87,30.31,44.85,16.35,33.98,9.54,33.05,25.35,39.1,22.47,17.06,44.03,23.32,15.7,27.2,-82.18,27.29,593.66,32.12,131.36,83.48,32.13,142.39,120.06,14.4,22.79,22.95,44.13,16.36,13.91,16.12,26.0,33.31,19.72,49.64,62.64,41.09,-1.4,22.78,34.16,29.4,26.2,19.07,26.0,19.36,10.91,25.61,22.65,6.3,13.7,15.45,8.83
2022-09-30,29.09,15.05,29.41,27.38,38.0,19.82,30.1,11.85,415.74,14.07,100.24,18.3,13.63,-5.45,8.64,9.76,14.74,-54.65,79.66,5.8,10.55,23.33,7.65,-6.88,7.15,42.58,192.98,17.56,6.18,13.24,26.88,169.35,16.97,21.88,30.93,-138.78,22.46,22.35,8.73,17.4,18.13,-8.36,26.04,750.8,51.39,23.95,7.95,10.46,21.44,26.32,50.16,15.14,199.38,8.91,27.45,21.39,35.35,67.58,20.7,34.04,16.79,13.26,24.73,10.53,22.8,18.73,28.41,238.37,123.21,32.15,643.03,21.79,7.19,19.11,136.83,18.53,15.41,11.67,14.76,21.69,27.98,16.78,72.79,41.38,23.48,4.55,19.79,33.25,82.79,63.37,15.39,22.44,15.95,13.6,23.35,19.95,8.14,11.52,-53.65,4.65
2022-06-30,29.44,73.35,23.57,26.43,43.05,29.68,34.91,14.31,78.8,24.71,-132.76,22.75,13.47,127.34,10.12,20.67,21.39,-3.44,54.15,4.91,14.18,17.05,13.33,12.87,5.65,31.55,670.7,16.63,6.07,13.65,25.06,31.1,17.74,20.91,23.92,-19.4,24.24,22.42,9.46,15.12,23.4,22.86,-82.05,-556.63,58.38,24.51,9.64,14.68,36.59,96.82,76.62,90.16,10.21,12.84,33.66,38.32,28.72,33.1,16.3,20.11,14.63,13.55,28.67,8.05,27.58,13.49,32.46,175.75333333333333,175.34,15.04,304.86999999999995,39.29,7.38,28.26,-31.28,35.63,17.15,9.56,19.77,27.26,24.9,16.7,63.55,29.3,28.68,9.04,22.07,32.29,-373.72,77.28,15.43,23.68,18.18,14.0,29.37,22.24,10.25,12.98,17.61,5.08
2022-03-31,28.41,15.99,21.17,30.63,42.23,25.74,25.62,16.14,53.02,22.45,-107.24,24.41,17.1,-22.8,11.86,-34.32,20.19,35.74,164.68,6.11,19.37,11.53,15.94,14.88,5.65,40.9,147.34666666666666,16.7,12.59,14.0,27.49,132.77,16.57,28.47,24.52,-21.48,28.05,27.93,7.57,18.68,29.37,39.88,6.05,16.46,73.93,22.53,12.25,18.81,24.48,34.5,34.0,17.22,13.98,18.98,33.18,41.57,25.5,23.5,20.29,20.01,12.03,10.69,34.53,11.02,-60.04,26.04,38.61,371.26,75.63,21.85,-189.58,13.21,9.1,28.22,53.05,25.97,15.62,15.19,20.28,33.97,37.52,28.47,37.23,22.85,78.16,6.66,30.69,26.21,56.28,83.95,19.24,23.81,26.49,17.6,31.78,21.84,11.68,13.23,51.29,16.07
2021-12-31,21.01,14.84,31.21,31.54,59.5,74.38,37.27,17.14,45.84,16.64,29.57,27.41,18.71,-7.13,13.05,39.86,21.24,4.2,184.58,9.44,13.13,9.63,17.24,18.66,9.03,43.25,-2045.9,19.56,11.12,32.03,29.86,63.8,24.64,31.28,50.65,-4.2,23.22,23.25,8.42,28.41,25.13,12.86,11.29,392.83,84.37,23.81,11.35,22.67,26.5,43.15,37.04,11.85,32.78,21.29,37.08,30.46,23.07,23.41,22.87,27.27,12.88,11.96,33.63,10.05,38.26,109.95,50.08,304.815,51.04,-49.01,-134.74,44.4,24.43,23.37,15.57,24.92,17.66,15.4,8.02,46.75,41.17,25.18,37.92,42.12,38.1,6.6,22.42,39.64,85.84,115.54,20.36,29.02,23.57,15.16,28.89,18.15,11.73,8.65,27.17,7.35
