,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADP,AMAT,AMD,AMGN,AMZN,AVGO,AXP,BA,BAC,BKNG,BLK,BRK-B,BSX,C,CAT,CB,CI,CMCSA,COP,COST,CRM,CSCO,CVX,DE,DHR,DIS,ELV,ETN,FI,GE,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,ISRG,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MDLZ,MDT,META,MMC,MRK,MS,MSFT,MU,NEE,NFLX,NKE,NOW,NVDA,ORCL,PANW,PEP,PFE,PG,PGR,PLD,PM,QCOM,REGN,RTX,SBUX,SCHW,SNPS,SPGI,SYK,T,TJX,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,V,VRTX,VZ,WFC,WMT,XOM
2024-03-31,31.86%,17.10%,3.16%,6.18%,4.01%,0.86%,25.61%,9.46%,0.22%,-2.25%,4.81%,1.89%,8.47%,2.02%,2.27%,-19.15%,3.96%,2.22%,2.47%,1.63%,16.19%,3.54%,-0.67%,4.67%,5.17%,7.72%,2.57%,4.12%,3.42%,10.45%,2.04%,-0.02%,5.53%,4.26%,2.55%,5.15%,8.08%,8.08%,3.49%,197.80%,8.89%,6.90%,-0.36%,12.74%,3.90%,4.65%,3.99%,19.44%,12.02%,4.19%,17.51%,23.23%,-12.02%,12.04%,41.57%,-39.91%,4.96%,1.30%,8.27%,11.27%,11.80%,3.44%,8.67%,1.81%,4.66%,10.92%,8.24%,4.28%,30.28%,42.70%,6.24%,10.72%,3.38%,7.50%,10.69%,1.10%,-20.84%,9.51%,2.67%,2.83%,-9.14%,3.21%,4.08%,2.89%,4.11%,3.30%,14.26%,2.92%,3.82%,1.75%,6.51%,-1.63%,10.48%,6.58%,11.52%,5.93%,4.88%,2.55%,6.28%,4.00%
2023-12-31,45.77%,7.93%,4.13%,7.40%,8.98%,1.30%,20.34%,11.58%,1.19%,12.31%,5.26%,14.69%,6.89%,0.13%,1.08%,-8.09%,3.49%,6.69%,2.62%,-0.90%,13.73%,5.55%,2.23%,3.94%,6.10%,8.40%,2.42%,5.70%,1.40%,7.93%,2.02%,1.90%,2.18%,4.96%,2.91%,5.81%,7.30%,7.30%,1.72%,268.30%,7.97%,14.59%,2.53%,2.09%,4.56%,5.89%,2.84%,19.14%,7.61%,3.88%,20.33%,27.30%,-6.78%,11.61%,40.28%,-43.32%,3.35%,2.55%,9.15%,6.20%,-3.26%,1.53%,9.18%,-2.88%,2.55%,4.56%,11.16%,3.87%,28.58%,57.17%,40.09%,7.04%,-3.76%,7.15%,9.80%,1.19%,-19.56%,12.00%,4.46%,2.38%,-11.89%,2.55%,6.73%,1.69%,6.15%,1.86%,19.21%,3.49%,3.11%,12.66%,8.11%,6.15%,11.17%,9.27%,12.31%,5.51%,-2.93%,1.86%,6.55%,3.73%
2023-09-30,36.94%,14.70%,3.83%,5.34%,8.89%,1.40%,24.75%,12.26%,0.54%,22.60%,5.40%,14.96%,8.97%,9.78%,2.72%,-401.76%,4.15%,-2.43%,2.67%,1.69%,13.64%,3.90%,0.09%,4.90%,5.86%,6.08%,2.11%,8.05%,3.95%,10.87%,2.15%,0.27%,3.35%,4.85%,3.22%,0.90%,7.21%,7.21%,1.76%,266.43%,8.52%,7.38%,0.29%,1.42%,3.32%,36.54%,4.14%,24.79%,11.73%,4.02%,-0.51%,18.16%,-11.71%,11.03%,50.67%,-47.73%,3.45%,1.77%,8.11%,6.40%,11.50%,2.43%,10.10%,-3.24%,2.59%,7.59%,10.38%,3.37%,27.79%,85.18%,8.95%,16.44%,-2.47%,9.48%,6.45%,1.39%,-21.77%,6.90%,4.05%,-1.41%,-15.25%,2.98%,5.68%,2.09%,3.86%,3.37%,17.43%,3.78%,3.31%,3.47%,10.28%,6.52%,10.91%,5.88%,12.09%,6.27%,4.87%,3.19%,0.57%,4.54%
2023-06-30,32.98%,15.73%,3.70%,7.93%,8.73%,2.44%,22.13%,10.34%,0.05%,20.34%,4.00%,15.82%,8.05%,0.96%,2.61%,-193.98%,3.58%,6.65%,1.48%,1.40%,16.02%,3.39%,3.21%,5.05%,4.70%,8.62%,2.18%,8.92%,3.02%,12.92%,2.14%,-0.47%,4.85%,4.14%,2.28%,5.52%,6.88%,6.88%,1.05%,348.99%,8.60%,7.13%,1.47%,0.52%,3.52%,6.85%,4.63%,23.45%,9.79%,3.95%,15.94%,18.19%,-18.14%,9.77%,51.69%,-46.22%,3.30%,1.55%,5.81%,8.53%,-15.44%,2.17%,9.74%,-4.17%,6.24%,6.52%,7.36%,15.07%,22.50%,213.30%,13.02%,15.54%,2.35%,7.19%,2.07%,2.27%,-16.16%,8.72%,4.03%,1.83%,-13.68%,3.48%,5.64%,1.44%,4.25%,4.41%,14.97%,3.11%,3.38%,5.29%,10.80%,6.27%,11.89%,10.40%,10.66%,5.92%,4.88%,2.74%,9.92%,3.96%
2023-03-31,38.87%,1.80%,1.78%,6.41%,8.78%,2.71%,28.24%,11.15%,-0.25%,53.12%,2.05%,16.19%,6.98%,2.74%,2.91%,24.77%,3.07%,7.04%,1.76%,2.21%,10.71%,3.57%,2.85%,4.65%,6.11%,5.52%,0.35%,7.59%,3.36%,12.77%,2.82%,1.30%,5.32%,3.66%,1.87%,23.71%,5.77%,5.77%,2.76%,1.07%,7.96%,4.29%,-2.81%,11.86%,3.15%,-0.10%,4.16%,26.01%,12.32%,3.79%,12.02%,17.51%,-15.36%,9.68%,44.30%,-31.20%,5.55%,2.29%,4.57%,11.03%,6.02%,2.96%,9.40%,-4.92%,4.86%,5.98%,8.53%,2.68%,8.33%,-99.16%,8.75%,11.34%,5.49%,7.48%,2.66%,0.88%,-22.36%,8.65%,3.48%,1.96%,-10.68%,4.41%,4.68%,2.19%,3.50%,4.25%,13.87%,3.05%,2.90%,5.23%,11.21%,6.54%,13.09%,9.46%,11.04%,4.85%,5.29%,2.75%,2.31%,5.75%
2022-12-31,52.88%,14.33%,2.82%,8.55%,8.37%,2.63%,27.22%,12.79%,0.04%,44.14%,0.19%,14.79%,6.29%,4.17%,2.61%,44.39%,3.34%,3.85%,0.80%,1.25%,9.16%,2.60%,2.61%,3.73%,6.77%,6.43%,-0.17%,6.69%,3.31%,9.18%,4.46%,1.33%,2.61%,4.23%,2.54%,6.59%,5.32%,5.32%,1.13%,215.24%,5.88%,12.35%,-0.65%,1.06%,2.92%,4.58%,3.77%,37.60%,8.43%,3.32%,18.19%,20.63%,-6.72%,17.68%,40.09%,-31.71%,2.17%,2.38%,3.70%,4.34%,6.56%,2.23%,8.97%,-0.37%,3.88%,0.27%,8.72%,2.98%,6.40%,-46.11%,11.55%,3.02%,5.22%,8.79%,5.20%,1.10%,-26.76%,11.88%,5.28%,1.96%,-9.86%,5.38%,4.82%,1.19%,3.39%,-24.12%,16.32%,3.58%,2.12%,8.31%,13.46%,5.85%,13.47%,17.45%,11.32%,5.89%,7.22%,1.59%,8.18%,6.54%
2022-09-30,40.89%,24.69%,4.02%,7.53%,7.90%,2.57%,30.23%,13.05%,0.12%,58.66%,2.09%,14.71%,7.71%,18.69%,2.63%,45.40%,3.78%,-0.59%,0.99%,1.75%,13.09%,1.70%,6.12%,-5.81%,9.22%,6.35%,0.35%,6.63%,5.97%,11.08%,3.30%,0.27%,4.45%,3.78%,1.59%,-0.24%,5.48%,5.48%,2.49%,334.28%,8.76%,-16.01%,1.02%,0.25%,2.80%,5.98%,3.38%,48.81%,12.39%,3.38%,14.42%,14.86%,-1.20%,19.24%,39.29%,-30.18%,2.00%,0.82%,3.54%,5.71%,7.31%,2.47%,10.11%,2.99%,4.39%,6.81%,9.28%,1.77%,3.19%,-28.41%,3.94%,14.24%,9.29%,8.94%,0.84%,2.88%,-22.84%,15.95%,6.14%,1.98%,-10.09%,5.45%,2.78%,1.63%,4.96%,4.92%,18.77%,3.43%,0.72%,8.26%,15.82%,6.74%,16.14%,15.23%,11.07%,7.14%,5.60%,1.88%,-2.49%,10.56%
2022-06-30,33.46%,6.31%,5.53%,8.35%,8.42%,2.04%,19.39%,13.31%,0.81%,54.44%,-1.54%,12.34%,8.41%,-1.07%,2.32%,21.41%,2.90%,-9.49%,1.43%,2.28%,10.64%,2.35%,3.39%,3.71%,10.21%,9.05%,0.11%,7.08%,6.47%,9.90%,3.56%,1.52%,4.57%,3.67%,1.92%,-1.62%,6.26%,6.26%,2.36%,2.18%,7.19%,7.17%,-0.45%,-0.34%,2.55%,6.30%,3.02%,57.47%,8.28%,0.94%,11.15%,2.70%,-35.44%,19.26%,36.87%,-18.65%,2.72%,1.76%,5.32%,9.04%,9.12%,2.35%,10.05%,5.33%,3.79%,7.55%,9.42%,0.48%,2.75%,-55.29%,1.57%,7.70%,11.36%,6.51%,-3.47%,1.77%,-24.69%,23.24%,4.12%,1.85%,-10.53%,4.03%,3.97%,2.46%,4.19%,3.49%,15.00%,3.93%,-0.15%,6.21%,16.26%,6.65%,14.44%,17.49%,9.61%,6.79%,6.04%,1.61%,6.64%,10.07%
2022-03-31,37.11%,27.57%,6.91%,7.95%,9.19%,2.11%,22.14%,13.27%,1.42%,161.14%,-2.87%,10.75%,9.40%,8.07%,2.65%,-16.01%,3.83%,1.07%,0.57%,2.18%,9.01%,3.48%,2.60%,3.75%,11.70%,6.78%,0.05%,7.53%,3.66%,11.10%,3.63%,0.52%,4.97%,3.20%,2.14%,-1.87%,6.47%,6.47%,3.33%,-247.57%,6.17%,3.85%,7.87%,10.58%,3.01%,6.89%,2.90%,17.90%,11.19%,2.73%,20.39%,17.33%,-33.92%,16.95%,37.40%,-18.43%,3.04%,2.83%,6.06%,9.79%,10.54%,3.44%,10.27%,4.73%,-1.93%,9.11%,9.43%,1.88%,6.15%,-28.24%,-21.68%,23.41%,9.54%,7.33%,1.84%,3.37%,-23.08%,22.01%,4.89%,1.50%,-7.69%,2.91%,5.30%,3.10%,2.15%,2.85%,10.50%,5.41%,1.02%,9.73%,15.70%,6.60%,13.70%,17.27%,10.13%,6.99%,5.47%,1.96%,2.67%,3.24%
2021-12-31,48.14%,26.25%,5.56%,8.80%,8.33%,0.75%,13.75%,15.07%,12.99%,28.34%,10.36%,7.96%,7.63%,27.76%,2.60%,10.00%,4.36%,7.83%,0.49%,1.57%,12.86%,3.59%,2.37%,3.18%,5.79%,6.69%,-0.05%,7.53%,3.02%,5.07%,3.87%,1.23%,3.15%,3.36%,1.08%,-9.53%,8.20%,8.20%,3.58%,-197.64%,7.42%,12.34%,4.85%,0.64%,3.18%,6.40%,3.54%,17.72%,10.50%,2.33%,19.22%,18.70%,-25.04%,18.45%,32.54%,-35.62%,3.55%,2.82%,8.24%,7.16%,9.84%,3.41%,11.73%,5.02%,3.24%,3.83%,8.96%,0.70%,11.28%,12.91%,-79.37%,8.24%,4.40%,9.46%,5.28%,3.74%,-20.71%,29.99%,11.88%,0.94%,-9.65%,2.81%,5.82%,32.04%,4.45%,3.03%,15.66%,4.06%,0.61%,7.69%,16.04%,5.42%,12.08%,21.70%,10.94%,7.62%,5.64%,2.92%,4.28%,5.26%
